Region,Year,Month,temperature_2m_max,precipitation_sum,vapour_pressure_deficit_max,soil_moisture_0_to_7cm_mean,relative_humidity_2m_mean
AB1,2005,10,13.73870968,0.951612903,0.864193548,0.257580645,66.19354839
AB1,2005,11,5.61,0.293333333,0.483333333,0.257933333,66.73333333
AB1,2005,12,-0.767741935,0.351612903,0.287741935,0.259903226,69.29032258
AB1,2006,1,4.487096774,0.85483871,0.387096774,0.304483871,70.51612903
AB1,2006,2,1.064285714,0.496428571,0.379642857,0.299321429,60.64285714
AB1,2006,3,4.951612903,0.712903226,0.531290323,0.327064516,66.09677419
AB1,2006,4,14.79666667,0.89,1.080333333,0.266833333,59.3
AB1,2006,5,19.48387097,1.916129032,1.661612903,0.232032258,57.64516129
AB1,2006,6,22.63666667,3.213333333,1.624666667,0.284833333,65.03333333
AB1,2006,7,29.13225806,0.25483871,2.848064516,0.145774194,48.61290323
AB1,2006,8,26.93225806,0.5,2.730645161,0.142870968,46.90322581
AB1,2006,9,20.52666667,0.89,1.771666667,0.204166667,56.2
AB1,2006,10,9.935483871,0.74516129,0.717419355,0.216290323,65.70967742
AB1,2006,11,2.7,0.716666667,0.403,0.244733333,65.43333333
AB1,2006,12,2.35483871,0.338709677,0.380322581,0.254322581,63.16129032
AB1,2007,1,1.319354839,0.351612903,0.384193548,0.272225806,59
AB1,2007,2,-1.925,0.735714286,0.27,0.307535714,70.64285714
AB1,2007,3,10.38064516,0.393548387,0.83483871,0.276903226,58.70967742
AB1,2007,4,9.696666667,2.443333333,0.721666667,0.3141,68.8
AB1,2007,5,18.21935484,2.241935484,1.290322581,0.269870968,61.19354839
AB1,2007,6,22.53333333,2.79,1.647666667,0.2626,61.9
AB1,2007,7,30.63548387,0.470967742,3.251612903,0.154935484,48.16129032
AB1,2007,8,25.67741935,1.264516129,2.37516129,0.184967742,52.48387097
AB1,2007,9,19.13666667,1.326666667,1.572666667,0.200433333,57.83333333
AB1,2007,10,14.45806452,0.274193548,1.062580645,0.200387097,56.03225806
AB1,2007,11,5.313333333,0.346666667,0.594,0.171066667,55.16666667
AB1,2007,12,-4.019354839,0.358064516,0.139354839,0.178258065,76.90322581
AB1,2008,1,-2.180645161,0.470967742,0.292580645,0.223516129,65.64516129
AB1,2008,2,-1.1,0.54137931,0.224827586,0.266586207,76.82758621
AB1,2008,3,6.332258065,0.377419355,0.653548387,0.280580645,56.38709677
