Region,Year,Month,temperature_2m_max,precipitation_sum,vapour_pressure_deficit_max,soil_moisture_0_to_7cm_mean,relative_humidity_2m_mean
California,2011,12,13.96129032,0,0.960645161,0.219870968,60.29032258
California,2012,1,16.23225806,2.567741935,1.07516129,0.24516129,65.29032258
California,2012,2,15.4,1.268965517,0.886551724,0.321310345,71.55172414
California,2012,3,17.02903226,3.816129032,1.023225806,0.344806452,71.16129032
California,2012,4,21.25,2.97,1.525,0.346866667,66.76666667
California,2012,5,27.58064516,0.012903226,2.792258065,0.193225806,49.77419355
California,2012,6,31.35666667,0.196666667,3.668333333,0.1435,39.93333333
California,2012,7,35.56774194,0,4.743225806,0.126064516,33.83870968
California,2012,8,37.30645161,0.006451613,5.391612903,0.126032258,30.12903226
California,2012,9,34.33666667,0.016666667,4.416333333,0.126266667,33.53333333
California,2012,10,25.5483871,0.541935484,2.36,0.185935484,54.67741935
California,2012,11,19.18333333,2.706666667,1.342,0.253433333,65.5
California,2012,12,12.41935484,5.096774194,0.526451613,0.390645161,79.93548387
California,2013,1,13.1516129,1.106451613,0.740967742,0.369935484,74.22580645
California,2013,2,14.84642857,0.821428571,0.861071429,0.353,72.78571429
California,2013,3,20.74193548,0.916129032,1.517419355,0.29883871,64.51612903
California,2013,4,24.78,0.256666667,2.336666667,0.218033333,53.26666667
California,2013,5,28.76129032,0.083870968,3.250322581,0.135451613,39.16129032
California,2013,6,34.63,0.006666667,4.614666667,0.1263,33.5
California,2013,7,38.42903226,0,5.792903226,0.126,26.51612903
California,2013,8,36,0.05483871,4.998064516,0.126870968,30.25806452
California,2013,9,31.92333333,0.09,3.887666667,0.139966667,38.13333333
California,2013,10,25.28709677,0.287096774,2.671935484,0.149645161,41.87096774
California,2013,11,20.49666667,0.616666667,1.717,0.193,54.2
California,2013,12,15.3483871,0.45483871,1.254193548,0.246806452,56.64516129
California,2014,1,19.16129032,0.761290323,1.603548387,0.174645161,54.38709677
California,2014,2,17.61428571,3.103571429,1.101071429,0.316142857,69.21428571
California,2014,3,21.58064516,1.519354839,1.751935484,0.289258065,59.35483871
California,2014,4,24.29333333,1.646666667,2.266,0.266466667,54.26666667
California,2014,5,29.19354839,0.296774194,3.46,0.177129032,39.93548387
California,2014,6,34.94333333,0,4.966333333,0.1262,25.43333333
California,2014,7,37.68387097,0.029032258,5.36516129,0.126548387,31.25806452
California,2014,8,36.13548387,0,4.995483871,0.126096774,30.16129032
California,2014,9,33.81666667,0.006666667,4.405666667,0.126366667,34.46666667
California,2014,10,29.05483871,0.34516129,3.33516129,0.126612903,37.67741935
California,2014,11,20.03,1.233333333,1.397333333,0.264333333,64.8
California,2014,12,15.10322581,3.85483871,0.73,0.363,77.22580645
California,2015,1,16.53548387,0.04516129,0.97483871,0.285419355,70.70967742
California,2015,2,19.45,2.65,1.1575,0.321928571,72.03571429
California,2015,3,23.55806452,0.080645161,2.013225806,0.253741935,59.35483871
California,2015,4,23.75666667,0.843333333,2.255,0.189166667,49.76666667
California,2015,5,26.00967742,0.461290323,2.572258065,0.172258065,49.22580645
California,2015,6,35.36333333,0.02,4.905333333,0.1291,32.53333333
California,2015,7,35.56774194,0.019354839,4.700645161,0.126419355,34.87096774
California,2015,8,36.38709677,0,5.063225806,0.126096774,31.22580645
California,2015,9,33.93,0.123333333,4.547666667,0.131366667,31.96666667
California,2015,10,27.81290323,0.7,2.801290323,0.166580645,48.90322581
California,2015,11,16.69666667,2.32,1.169666667,0.314066667,66.33333333
California,2015,12,12.41612903,2.561290323,0.711612903,0.343677419,73.61290323
California,2016,1,13.80645161,5.435483871,0.619032258,0.384935484,79.35483871
California,2016,2,18.8,0.465517241,1.118965517,0.345655172,71.37931034
California,2016,3,18.58709677,3.735483871,1.019032258,0.357741935,73.41935484
California,2016,4,23.06666667,1.086666667,1.840333333,0.283566667,61.96666667
California,2016,5,27.10967742,0.232258065,2.674193548,0.190129032,52.25806452
California,2016,6,35.85,0,5.219666667,0.1275,29.26666667
California,2016,7,38.07096774,0,5.812258065,0.126,25.87096774
California,2016,8,37.08064516,0,5.393225806,0.126,27.41935484
California,2016,9,32.85666667,0,4.282666667,0.126066667,30.4
California,2016,10,25.68064516,1.870967742,2.379677419,0.197516129,51.4516129
California,2016,11,20.27333333,1.43,1.511666667,0.301133333,65.76666667
California,2016,12,13.39032258,3.722580645,0.647419355,0.360129032,76.4516129
California,2017,1,12.49354839,9.667741935,0.566451613,0.395870968,78.35483871
California,2017,2,15.48571429,9.114285714,0.757857143,0.394607143,74.46428571
California,2017,3,19.2483871,3.003225806,1.132258065,0.345516129,71.25806452
California,2017,4,21.38,2.443333333,1.514,0.325833333,65.33333333
California,2017,5,27.95483871,0.125806452,2.843548387,0.17683871,50.35483871
California,2017,6,34.96333333,0,4.652,0.142033333,39.8
California,2017,7,38.68709677,0,5.851935484,0.141322581,31.5483871
California,2017,8,37.44516129,0.006451613,5.195483871,0.137709677,36.96774194
California,2017,9,31.46666667,0.416666667,3.647666667,0.155166667,45.13333333
California,2017,10,26.08064516,0.070967742,2.584193548,0.168580645,47.06451613
California,2017,11,20.11,1.616666667,1.39,0.215466667,63.56666667
California,2017,12,15.93870968,0.132258065,1.123548387,0.241258065,62.80645161
California,2018,1,16.5,1.687096774,0.937419355,0.288967742,70.93548387
California,2018,2,16.975,0.482142857,1.250714286,0.218892857,60
California,2018,3,17.30322581,9.087096774,1.071612903,0.37,69.5483871
California,2018,4,23.08666667,1.686666667,1.859333333,0.284933333,60.66666667
California,2018,5,27.81290323,0.05483871,2.80516129,0.15016129,50.22580645
California,2018,6,34.91333333,0,4.825333333,0.1234,33.43333333
California,2018,7,39.46774194,0.003225806,6.062580645,0.109741935,29.4516129
California,2018,8,36.54193548,0,5.187419355,0.134548387,35.06451613
California,2018,9,33.52333333,0,4.334333333,0.113466667,34.03333333
California,2018,10,26.36451613,0.164516129,2.627096774,0.114290323,45
California,2018,11,20.28,3.273333333,1.681666667,0.2202,56.7
California,2018,12,13.45806452,1.074193548,0.677096774,0.345032258,75.32258065
California,2019,1,14.7516129,3.325806452,0.739677419,0.364774194,72.90322581
California,2019,2,12.26428571,8.875,0.665,0.394714286,72.57142857
California,2019,3,17.33225806,4.4,1.040322581,0.359774194,70.58064516
California,2019,4,23.95666667,0.853333333,1.990666667,0.2416,61.16666667
California,2019,5,23.4516129,4.748387097,1.927096774,0.273870968,61.87096774
California,2019,6,33.82333333,0,4.161,0.182733333,43.26666667
California,2019,7,37.53870968,0,5.533870968,0.132612903,31.93548387
California,2019,8,37.58709677,0,5.442258065,0.132,32.74193548
California,2019,9,32.44666667,0.06,4.162333333,0.134066667,38.06666667
California,2019,10,26.07096774,0,2.838387097,0.133580645,41.61290323
California,2019,11,20.72333333,1.656666667,1.922,0.1684,53.16666667
California,2019,12,14.23870968,3.087096774,0.758064516,0.349774194,72.74193548
California,2020,1,14.16774194,0.506451613,0.708064516,0.289419355,76.35483871
California,2020,2,18.47931034,0.25862069,1.360344828,0.257344828,61.82758621
California,2020,3,17,3.658064516,1.114193548,0.302967742,67.48387097
California,2020,4,22.00666667,2.783333333,1.649333333,0.3158,66.83333333
California,2020,5,29.17741935,0.932258065,3.183548387,0.202032258,49.80645161
California,2020,6,34.01,0,4.549333333,0.1384,36.9
California,2020,7,38.31290323,0,5.850967742,0.132064516,28.19354839
California,2020,8,39.44193548,0,6.191612903,0.132,29
California,2020,9,36.53333333,0,5.305333333,0.132,32.36666667
California,2020,10,30.4483871,0,3.729677419,0.132,36.19354839
California,2020,11,18.77,0.863333333,1.530333333,0.207933333,59.16666667
California,2020,12,14.91612903,0.996774194,0.973225806,0.236,66.64516129
California,2021,1,15.0483871,3.309677419,0.96,0.270741935,69.35483871
California,2021,2,16.31785714,0.610714286,0.995,0.304892857,70.14285714
California,2021,3,18.19354839,1.793548387,1.384193548,0.280935484,61.19354839
California,2021,4,25.26333333,0.826666667,2.433333333,0.194466667,52.06666667
California,2021,5,30.54516129,0.006451613,3.748387097,0.142935484,36.58064516
California,2021,6,37.30333333,0,5.703333333,0.132,28.26666667
California,2021,7,40.73870968,0.003225806,6.741612903,0.13183871,23.19354839
California,2021,8,39.00645161,0,6.15,0.131967742,26.41935484
California,2021,9,35.18666667,0,4.950333333,0.132,31.63333333
California,2021,10,24.16774194,1.9,2.277741935,0.201064516,51.77419355
California,2021,11,19.45333333,0.35,1.133333333,0.2176,72.53333333
California,2021,12,12.92258065,8.296774194,0.658387097,0.334387097,77.25806452
California,2022,1,15.19032258,0.067741935,0.829032258,0.282870968,74.93548387
